node,label
125,north lawndale
126,north lawndale
176,north lawndale
177,north lawndale
671,north lawndale
672,north lawndale
722,north lawndale
723,north lawndale
137,south lawndale
138,south lawndale
139,south lawndale
140,south lawndale
142,south lawndale
144,south lawndale
182,south lawndale
183,south lawndale
683,south lawndale
684,south lawndale
685,south lawndale
686,south lawndale
728,south lawndale
729,south lawndale
730,south lawndale
731,south lawndale
365,south deering
366,south deering
385,south deering
518,south deering
910,south deering
911,south deering
912,south deering
931,south deering
359,south shore
905,south shore
205,lake view
206,lake view
207,lake view
208,lake view
209,lake view
210,lake view
216,lake view
217,lake view
220,lake view
420,lake view
421,lake view
422,lake view
751,lake view
753,lake view
754,lake view
756,lake view
762,lake view
763,lake view
766,lake view
218,lincoln park
219,lincoln park
221,lincoln park
423,lincoln park
764,lincoln park
765,lincoln park
767,lincoln park
313,roseland
341,roseland
347,roseland
887,roseland
893,roseland
300,ashburn
329,ashburn
460,ashburn
467,ashburn
846,ashburn
875,ashburn
